Timestamp,Total,Owner,Claimed,Unclaimed,Matched,Preempting,Backfill,Drain
1726999797,128,0,123,5,0,0,0,0
1726999798,128,0,123,5,0,0,0,0
1726999800,128,0,128,0,0,0,0,0
1726999801,128,0,128,0,0,0,0,0
1726999802,128,0,128,0,0,0,0,0
1726999804,128,0,128,0,0,0,0,0
1726999805,128,0,128,0,0,0,0,0
1726999807,128,0,128,0,0,0,0,0
1726999808,128,0,128,0,0,0,0,0
1726999809,128,0,128,0,0,0,0,0
1726999811,128,0,128,0,0,0,0,0
1726999812,128,0,128,0,0,0,0,0
1726999814,128,0,128,0,0,0,0,0
1726999815,128,0,128,0,0,0,0,0
1726999816,128,0,128,0,0,0,0,0
1726999818,128,0,128,0,0,0,0,0
1726999819,128,0,128,0,0,0,0,0
1726999820,128,0,128,0,0,0,0,0
1726999821,128,0,128,0,0,0,0,0
1726999822,128,0,128,0,0,0,0,0
1726999824,128,0,128,0,0,0,0,0
1726999825,128,0,128,0,0,0,0,0
1726999826,128,0,128,0,0,0,0,0
1726999827,128,0,128,0,0,0,0,0
1726999829,128,0,128,0,0,0,0,0
1726999830,128,0,128,0,0,0,0,0
1726999831,128,0,128,0,0,0,0,0
1726999833,128,0,128,0,0,0,0,0
1726999834,128,0,128,0,0,0,0,0
1726999835,128,0,128,0,0,0,0,0
1726999837,128,0,128,0,0,0,0,0
1726999838,128,0,128,0,0,0,0,0
1726999839,128,0,128,0,0,0,0,0
1726999840,128,0,128,0,0,0,0,0
1726999841,128,0,128,0,0,0,0,0
1726999843,128,0,128,0,0,0,0,0
1726999844,128,0,128,0,0,0,0,0
1726999845,128,0,128,0,0,0,0,0
1726999846,128,0,128,0,0,0,0,0
1726999847,128,0,128,0,0,0,0,0
1726999849,128,0,128,0,0,0,0,0
1726999850,128,0,128,0,0,0,0,0
1726999851,128,0,128,0,0,0,0,0
1726999852,128,0,128,0,0,0,0,0
1726999853,128,0,128,0,0,0,0,0
1726999854,128,0,128,0,0,0,0,0
1726999856,128,0,128,0,0,0,0,0
