timestamp,total_mb,used_mb,available_mb,use_percent
1727144178,3753977,125393,3473599,4
1727144179,3753977,125393,3473599,4
1727144180,3753977,125393,3473599,4
1727144181,3753977,125393,3473599,4
1727144182,3753977,125393,3473599,4
1727144183,3753977,125393,3473599,4
1727144184,3753977,125394,3473599,4
1727144185,3753977,125394,3473599,4
1727144186,3753977,125394,3473599,4
1727144187,3753977,125394,3473599,4
1727144188,3753977,125394,3473598,4
1727144189,3753977,125394,3473598,4
1727144190,3753977,125394,3473598,4
1727144191,3753977,125394,3473598,4
1727144192,3753977,125394,3473598,4
1727144193,3753977,125394,3473598,4
1727144194,3753977,125394,3473598,4
1727144195,3753977,125394,3473598,4
1727144196,3753977,125394,3473598,4
1727144197,3753977,125394,3473598,4
1727144198,3753977,125395,3473598,4
1727144199,3753977,125395,3473598,4
1727144200,3753977,125395,3473598,4
1727144201,3753977,125395,3473597,4
1727144203,3753977,125395,3473597,4
1727144204,3753977,125395,3473597,4
1727144205,3753977,125395,3473597,4
1727144206,3753977,125395,3473597,4
1727144207,3753977,125395,3473597,4
1727144208,3753977,125395,3473597,4
1727144209,3753977,125395,3473597,4
1727144210,3753977,125395,3473597,4
1727144211,3753977,125395,3473597,4
1727144212,3753977,125396,3473597,4
1727144213,3753977,125396,3473597,4
1727144214,3753977,125396,3473597,4
1727144215,3753977,125396,3473597,4
1727144216,3753977,125396,3473596,4
1727144217,3753977,125396,3473596,4
1727144218,3753977,125396,3473596,4
1727144219,3753977,125396,3473596,4
1727144220,3753977,125396,3473596,4
1727144221,3753977,125396,3473596,4
1727144222,3753977,125396,3473596,4
1727144223,3753977,125396,3473596,4
1727144224,3753977,125396,3473596,4
1727144225,3753977,125396,3473596,4
1727144226,3753977,125397,3473596,4
1727144227,3753977,125397,3473596,4
1727144228,3753977,125397,3473596,4
1727144229,3753977,125397,3473596,4
1727144230,3753977,125397,3473596,4
1727144231,3753977,125397,3473595,4
