timestamp,timestamp,T1,T2
1727243816,,8.464539,28.61167
1727243817,,8.870134,28.67564
1727243818,,8.831128,28.72582
1727243819,,8.684855,28.73227
1727243820,,8.465446,28.63807
1727243821,,8.765307,28.59812
1727243822,,8.585307,28.72264
1727243823,,8.855407,28.63947
1727243824,,8.935646,28.95761
1727243825,,8.751596,29.46142
1727243826,,8.66287,29.43664
1727243827,,8.621805,29.23881
1727243828,,9.03883,29.47039
1727243829,,8.439117,29.17634
1727243830,,8.49879,29.17923
1727243831,,8.601512,28.85435
1727243832,,8.622157,28.8723
1727243833,,8.634411,28.74793
1727243834,,8.559556,28.56508
1727243835,,8.814015,28.84106
1727243836,,8.769696,28.76542
1727243837,,8.793744,28.86166
1727243838,,8.927935,28.80013
1727243839,,8.786207,28.90827
1727243840,,8.573615,28.7468
1727243841,,8.693796,28.72987
1727243842,,8.643868,28.81119
1727243843,,8.423005,28.66735
1727243844,,8.448524,28.60177
1727243845,,8.487422,28.78832
1727243846,,8.578299,28.87925
1727243847,,8.708418,28.79547
1727243848,,8.892224,29.00278
1727243849,,8.790234,28.82183
1727243850,,8.788352,28.78359
1727243851,,8.748928,28.89894
1727243852,,8.762716,28.46498
1727243853,,8.822822,28.61008
1727243854,,8.996861,28.43172
1727243855,,8.831781,28.75436
1727243856,,8.493177,28.40191
1727243857,,8.910956,28.6364
1727243858,,8.784587,28.61253
1727243859,,8.765292,28.65638
1727243860,,8.862719,28.75667
1727243861,,9.060968,28.47841
1727243862,,8.862474,28.41898
1727243863,,8.797573,28.79666
1727243864,,8.579321,28.3583
1727243865,,8.683805,28.54879
1727243866,,8.631455,28.50869
1727243867,,8.396046,28.69376
1727243868,,8.59997,28.69845
1727243869,,8.602724,28.56916
1727243870,,8.946896,28.62322
1727243871,,9.123659,28.73853
1727243872,,8.938794,28.78198
1727243873,,8.78933,28.62659
1727243874,,8.671723,28.51957
1727243875,,8.820789,28.74347
1727243876,,8.948971,28.95319
1727243877,,8.904971,28.70956
1727243878,,8.960959,28.9649
1727243879,,8.835697,28.70594
1727243880,,8.803995,28.69017
1727243881,,8.718021,28.90894
1727243882,,8.376446,28.7504
1727243883,,8.533164,28.97696
1727243884,,8.805017,28.7565
1727243885,,9.119881,29.06687
1727243886,,8.978952,28.86598
1727243887,,8.905001,29.29364
1727243888,,8.864541,29.66007
1727243889,,8.965437,29.67237
1727243890,,8.520652,29.5368
1727243891,,9.110554,29.65225
1727243892,,8.656058,29.54414
1727243893,,8.704195,29.42488
1727243894,,8.651283,29.2562
1727243895,,8.553863,29.14645
1727243896,,9.170361,28.89183
1727243897,,8.795538,28.71162
1727243898,,8.775291,29.06986
1727243899,,8.865995,28.80675
1727243900,,8.963754,28.81735
1727243901,,8.893502,29.05676
1727243902,,8.820241,28.96105
1727243903,,8.905961,28.76426
1727243904,,8.467598,28.8487
1727243905,,9.163433,29.32761
1727243906,,8.756436,28.86831
1727243907,,8.793367,28.9557
1727243908,,8.619755,28.669
1727243909,,8.530912,28.9126
1727243910,,8.90692,28.95135
1727243911,,8.490043,29.1648
1727243912,,8.719414,28.80195
1727243913,,8.651472,28.69477
1727243914,,8.727411,28.59784
1727243915,,8.746879,28.76868
1727243916,,8.576955,28.6159
1727243917,,8.986856,28.78198
1727243918,,9.061417,28.60113
1727243919,,8.475752,28.66643
1727243920,,8.760953,28.87705
1727243921,,8.721182,28.74052
1727243922,,8.276901,28.62169
1727243923,,8.488175,28.49415
1727243924,,8.451558,28.42881
1727243925,,8.588871,28.74925
1727243926,,8.778459,28.71203
1727243927,,8.784886,28.90977
1727243928,,8.740653,28.67785
1727243929,,8.7276,28.58267
1727243930,,8.817863,28.88744
1727243931,,8.694105,28.69279
1727243932,,8.725983,28.56329
1727243933,,8.470053,28.78673
1727243934,,8.433345,28.75156
1727243935,,8.835081,28.86432
1727243936,,8.656205,28.69378
1727243937,,8.879698,28.98735
1727243938,,8.576925,28.85933
1727243939,,8.568003,28.857
1727243940,,8.574727,28.57395
1727243941,,8.580698,28.7398
1727243942,,8.420006,28.7211
1727243943,,9.155747,28.81609
1727243944,,8.592697,28.79196
1727243945,,8.639313,28.65673
1727243946,,8.818907,28.75704
1727243947,,9.094152,28.83095
1727243948,,9.051661,28.98601
1727243949,,8.574575,28.86415
1727243950,,9.125234,28.96608
1727243951,,8.985423,29.35423
1727243952,,9.245445,29.1309
1727243953,,8.621327,29.51482
1727243954,,8.79246,29.40779
1727243955,,8.821136,29.38693
1727243956,,8.693015,29.3532
1727243957,,8.993156,28.99741
1727243958,,8.528952,28.82779
1727243959,,8.833758,28.8084
1727243960,,8.50795,28.9567
1727243961,,8.931406,28.66539
1727243962,,9.049762,28.72272
1727243963,,9.027614,28.80625
1727243964,,8.905713,28.64344
1727243965,,8.831705,28.76754
1727243966,,8.740937,28.79097
1727243967,,8.720599,28.75872
1727243968,,8.662396,28.5005
1727243969,,8.652638,28.4496
1727243970,,8.636863,28.74414
1727243971,,8.554589,28.7372
1727243972,,8.627038,28.66759
1727243973,,9.040932,28.69017
1727243974,,8.971628,28.29065
1727243975,,8.526243,28.73606
1727243976,,8.564219,28.51746
1727243977,,8.788201,28.63116
1727243978,,8.633672,28.5711
1727243979,,8.57618,28.70413
1727243980,,8.556715,29.00278
1727243981,,8.53124,28.58447
1727243982,,8.667982,28.54328
1727243983,,8.780426,28.4485
1727243984,,8.657753,28.47808
1727243985,,8.923975,28.66211
1727243986,,8.728106,28.821
1727243987,,8.401765,28.91928
1727243988,,8.683756,28.51275
1727243989,,8.597087,28.63303
1727243990,,8.361335,28.64234
1727243991,,8.363256,28.84919
1727243992,,8.426256,28.66173
1727243993,,8.821684,28.51143
1727243994,,8.873323,28.69792
1727243995,,8.871614,28.61295
1727243996,,8.87296,28.767
1727243997,,8.936813,28.75024
1727243998,,9.037827,29.03672
1727243999,,9.040278,28.88328
1727244000,,8.54476,28.59115
1727244001,,8.914099,28.56215
1727244002,,8.727274,28.88611
1727244003,,8.430285,29.01084
1727244004,,8.363284,28.79963
1727244005,,8.872358,28.75387
1727244006,,8.993503,28.68622
1727244007,,8.972664,28.96825
1727244008,,8.51339,28.74496
1727244009,,8.620207,29.23387
1727244010,,8.981623,28.69789
1727244011,,8.867834,28.92316
1727244012,,8.659916,28.89311
1727244013,,9.110521,28.8986
1727244014,,8.711597,29.15578
1727244015,,8.82637,29.29515
1727244016,,8.769562,29.35668
1727244017,,8.569577,29.4531
1727244018,,8.53447,29.42249
1727244019,,8.821381,29.3926
1727244020,,8.562013,29.16006
1727244021,,8.553494,28.94934
1727244022,,8.703923,28.946
